id,relation,source,target
54451,r_cert_chain,Cert_21e0b92b919147be6c9929aa8632ac9aa01666730452ff9765c89323095c2985,Cert_0335aa1581ca56f1a536c2cdf6178f3be17d1511a5fbd82debfc2f8d5a9c5f6f
60536,r_dns_a,Domain_0fab257471505dda2f5a5bc26d0e7338ccfb0083a0f219d62e0fc03f05dca734,IP_f7d403ede756e3c6180ed58e76fc175b357bde3730d6d23245aadf93dcd8046f
61317,r_dns_a,Domain_05f4f1018ca5bcec0011d49552005e3c41d03f90c6a376a48dcef8d33d19bd37,IP_f7d403ede756e3c6180ed58e76fc175b357bde3730d6d23245aadf93dcd8046f
76303,r_cert_chain,Cert_2a5008ab17cd027be9d4855903225b0845fbce0ca38c6a1b35bf04426352408a,Cert_0335aa1581ca56f1a536c2cdf6178f3be17d1511a5fbd82debfc2f8d5a9c5f6f
166496,r_cidr,IP_972665d4ab545e736dd4a94430546f31facf1ead09e4545dcb5235b2c126ea2b,IP_CIDR_c341ec81660fe5d8559712e143efd4ba032b0125d46c0130e1797eb4f5692431
326846,r_cidr,IP_65f41b66882ed8f4b4f2cbb72219da89d636d82fdda92cc61423e0c14070e579,IP_CIDR_2e74bbe7a5e98f6483952784701fa3ff814d5847791c5878f4e425b4f4432d9c
327946,r_subdomain,Domain_dc5ff4027af5b74c5e21c904e5983e36a2940ebf631d4b7527bbd5fd3710f0b7,Domain_1545940fc3a583653dd209dfddffbe8b37132a235fac175a44d64a0012fae304
328036,r_dns_a,Domain_dc5ff4027af5b74c5e21c904e5983e36a2940ebf631d4b7527bbd5fd3710f0b7,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328059,r_subdomain,Domain_f12a3c29e36bb246b3112b7ff22b351099fee68579c3a5f98f947cfa3cece80d,Domain_a7f606425509ab38a513a1712bc201384e5b0537a7cece03c019d95b066fe0d7
328123,r_dns_a,Domain_f12a3c29e36bb246b3112b7ff22b351099fee68579c3a5f98f947cfa3cece80d,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328124,r_dns_a,Domain_dc5ff4027af5b74c5e21c904e5983e36a2940ebf631d4b7527bbd5fd3710f0b7,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328153,r_subdomain,Domain_6cc96f7ff824d94eb2c58f3c17593de4f3371ef5a5b9a52f1296c211287939c2,Domain_194a56d97de301585da74057981b220a442c9fd466f834022df4a37609299396
328170,r_dns_a,Domain_f12a3c29e36bb246b3112b7ff22b351099fee68579c3a5f98f947cfa3cece80d,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328212,r_dns_a,Domain_6cc96f7ff824d94eb2c58f3c17593de4f3371ef5a5b9a52f1296c211287939c2,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328226,r_cert,Domain_dc5ff4027af5b74c5e21c904e5983e36a2940ebf631d4b7527bbd5fd3710f0b7,Cert_be7addba19cec88ac7f4c8da798d7837de246e20d42c33fd94d5b94c86f064d6
328259,r_dns_a,Domain_6cc96f7ff824d94eb2c58f3c17593de4f3371ef5a5b9a52f1296c211287939c2,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328264,r_subdomain,Domain_990932bd5686b8ba7494f58c52189c13bedd1b71a9e859d448420df57530c0af,Domain_c06ff7a35ba3d22653cd6d8e4f461feead1b09d3fd37d450148f8efe73499209
328284,r_dns_a,Domain_990932bd5686b8ba7494f58c52189c13bedd1b71a9e859d448420df57530c0af,IP_65f41b66882ed8f4b4f2cbb72219da89d636d82fdda92cc61423e0c14070e579
328318,r_cert,Domain_6cc96f7ff824d94eb2c58f3c17593de4f3371ef5a5b9a52f1296c211287939c2,Cert_679f86952af11d276eae0473f7bd7d561b0e2584dbd9d00d9e55ad677bebd622
328343,r_dns_a,Domain_990932bd5686b8ba7494f58c52189c13bedd1b71a9e859d448420df57530c0af,IP_23c8772cf91bb6be2526543a7537de5641ad07854e8815c016977bc09ad30146
328359,r_subdomain,Domain_4d0eae8381dd00871515e637037f6db2794dbec49cca2eda0ed4d8c5033b0c32,Domain_ecbc2ef4a7122eba3273c8deda9469a454dc19d5bf72fda934a9af78210ddaa2
328381,r_dns_a,Domain_4d0eae8381dd00871515e637037f6db2794dbec49cca2eda0ed4d8c5033b0c32,IP_65f41b66882ed8f4b4f2cbb72219da89d636d82fdda92cc61423e0c14070e579
328416,r_dns_a,Domain_4d0eae8381dd00871515e637037f6db2794dbec49cca2eda0ed4d8c5033b0c32,IP_dfc666d1ba20c7af47fb643b9ef10d8996865d27e7ba66de6be459eca79d27be
328428,r_dns_a,Domain_4d0eae8381dd00871515e637037f6db2794dbec49cca2eda0ed4d8c5033b0c32,IP_23c8772cf91bb6be2526543a7537de5641ad07854e8815c016977bc09ad30146
328431,r_cert,Domain_990932bd5686b8ba7494f58c52189c13bedd1b71a9e859d448420df57530c0af,Cert_2881b814f038e7fe444dbeb5f3e21cc51a0278cc6120a9b9b6934ce06c95fac5
328537,r_subdomain,Domain_99900de4a07d0d95434d1180ab4aa7f8a8089345fb8f7394e305deebc534e7f7,Domain_47ee1a84641986d7744788ccda1a66a8ca14559b224ecb86bf7daea75fa73156
328609,r_dns_a,Domain_99900de4a07d0d95434d1180ab4aa7f8a8089345fb8f7394e305deebc534e7f7,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328646,r_cert,Domain_5fb7f669b3e52ee90ea5c193349c15bccb5319ba3441552127971b801f3407e6,Cert_1073d82e6e98da2d8b43e21f527bc0ca8a5aff4fb21e678c30df441ec42b2355
328661,r_dns_a,Domain_99900de4a07d0d95434d1180ab4aa7f8a8089345fb8f7394e305deebc534e7f7,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328671,r_subdomain,Domain_2c547fe56f4927d0bebd7a4e9f3a6722ca26ddb627341a2c32584c2dcde271af,Domain_3c470c5dd54be4cba1a0df1eebe22e43c62fa4df535209ed1dd7f6c09fc10c7d
328722,r_cert,Domain_99900de4a07d0d95434d1180ab4aa7f8a8089345fb8f7394e305deebc534e7f7,Cert_2fc5ec1b52376e5ccbed516b8e9aff6d99ad6936d7276b0fd9c707a0cb45f341
328735,r_dns_a,Domain_2c547fe56f4927d0bebd7a4e9f3a6722ca26ddb627341a2c32584c2dcde271af,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328781,r_dns_a,Domain_2c547fe56f4927d0bebd7a4e9f3a6722ca26ddb627341a2c32584c2dcde271af,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328834,r_subdomain,Domain_4ba954819aa7ba729c2af989fa8e97008d7651e1c3a07e0effb4b502c953dae3,Domain_c2fc720d23577fcb809367425c98a3643320e7fb8a0afbce182cc51ce5baa651
328903,r_dns_a,Domain_4ba954819aa7ba729c2af989fa8e97008d7651e1c3a07e0effb4b502c953dae3,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
328936,r_subdomain,Domain_1405a5370f9e69dc8426c6ab8e846f8f6114168eee03ddc20b13bc693531fb68,Domain_1b05da3ada7498142e1d807f6d383423f80fcc412f749ffd4046c464a6fb2354
328960,r_dns_a,Domain_4ba954819aa7ba729c2af989fa8e97008d7651e1c3a07e0effb4b502c953dae3,IP_2a43b74bf0596e4e7aada857d1e67cc41365b5727b30986a4e8c9d954c280593
328979,r_dns_a,Domain_1405a5370f9e69dc8426c6ab8e846f8f6114168eee03ddc20b13bc693531fb68,IP_66d5d9c5e62a1b9e34910456c27ace0ff85e12506cd89a5d425e530947975458
328989,r_dns_a,Domain_1405a5370f9e69dc8426c6ab8e846f8f6114168eee03ddc20b13bc693531fb68,IP_23c8772cf91bb6be2526543a7537de5641ad07854e8815c016977bc09ad30146
329006,r_dns_a,Domain_1405a5370f9e69dc8426c6ab8e846f8f6114168eee03ddc20b13bc693531fb68,IP_33a86b035f506cef7386b17094b4886da0caf162a343faf842ba0afd22e2310a
329018,r_dns_a,Domain_1405a5370f9e69dc8426c6ab8e846f8f6114168eee03ddc20b13bc693531fb68,IP_fd3d59b5f74b52878ed37cc3cb7a10e98335ced1a9b708066833a6c1eab12ab2
329026,r_cert,Domain_4ba954819aa7ba729c2af989fa8e97008d7651e1c3a07e0effb4b502c953dae3,Cert_550c61d1672e3d7e2ee195852456d7c80d56e8efa4e695ccded112a5b17974c6
